австралийский доллар;доллар;AUD;100 центов;цент
азербайджанский манат;манат;AZN;100 гяпиков;гяпик
албанский лек;лек;ALL;100 киндарок;киндарка
алжирский динар;динар;DZD;100 сантимов;сантим
ангольская кванза;кванза;AOA;100 сентимо;сантим
антильский гульден;гульден;ANG;100 центов;цент
аргентинское песо;песо;ARS;100 сентаво;сентаво
армянский драм;драм;AMD;100 лума;лум
афганский афгани;афгани;AFN;100 пулов;пул
багамский доллар;доллар;BSD;100 центов;цент
бангладешская така;така;BDT;100 пайсов;пайс
бахрейнский динар;динар;BHD;1000 филсов;филс
белорусский рубль;рубль;BYR;100 копеек;копейка
биткойн;биткойн;BTC;10000000 сатоши;сатоши
болгарский лев;лев;BGN;100 стотинок;стотинка
боливийский боливиано;боливиано;BOB;100 сентаво;сентаво
ботсванская пула;пула;BWP;100 тхебе;тхебе
бразильский реал;реал;BRL;100 сентавов;сентаво
брунейский доллар;доллар;BND;100 центов;цент
бурундийский франк;франк;BIF;100 сантим;сантим
венгерский форинт;форинт;HUF;;
венесуэльский боливар фуэрте;боливар;VEF;100 сантимов;сантим
корейская вона;вона;KRW;100 чон;чон
восточно-карибский доллар;доллар;XCD;100 центов;цент
вьетнамский донг;донг;VND;;
гамбийский даласи;даласи;GMD;100 бутуты;бутут
ганский седи;седи;GHS;100 песева;песева
гватемальский кетцаль;кетцаль;GTQ;100 сентаво;сентаво
гвинейский франк;франк;GNF;100 сантимов;сантим
гондурасская лемпира;лемпира;HNL;100 сентаво;сентаво
гонконгский доллар;доллар;HKD;100 центов;цент
грузинский лари;лари;GEL;100 тетри;тетри
датская крона;крона;DKK;100 эре;эре
македонский денар;денар;MKD;100 дени;дени
дирхам ОАЭ;дирхам;AED;100 филсов;филс
намибийский доллар;доллар;NAD;100 центов;цент
американский доллар;доллар;USD;100 центов;цент
доллар Тринидада и Тобаго;доллар;TTD;100 центов;цент
фиджийский доллар;доллар;FJD;100 центов;цент
евро;евро;EUR;100 центов;цент
египетский фунт;фунт;EGP;100 пиастров;пиастр
замбийская квача;квача;ZMK;100 нгве;нгве
индийская рупия;рупия;INR;100 пайс;пайс
индонезийская рупия;рупия;IDR;100 сенов;сен
иорданский динар;динар;JOD;100 пиа;пиа
иракский динар;динар;IQD;1000 филсов;филс
иранский риал;риал;IRR;100 динаров;динар
исландская крона;крона;ISK;100 эйре;эйре
йеменский риал;риал;YER;100 филсов;филс
казахстанский тенге;тенге;KZT;100 тиынов;тиын
камбоджийский риель;риель;KHR;;
канадский доллар;доллар;CAD;100 центов;цент
катарский риал;риал;QAR;100 дирхамов;дирхам
кенийский шиллинг;шиллинг;KES;100 центов;цент
лаосский кип;кип;LAK;100 ат;ат
киргизский сом;сом;KGS;100 тыйын;тыйын
китайский юань;юань;CNY;10 цзяо;цзяо
колумбийское песо;песо;COP;100 сентаво;сентаво
конголезский франк;франк;CDF;100 сентимов;сентим
костариканский колон;колон;CRC;100 сентимо;сентим
кубинское песо;песо;CUP;100 сентаво;сентаво
кувейтский динар;динар;KWD;1000 филсов;филс
латвийский лат;лат;LVL;100 сантимов;сентим
ливанский фунт;фунт;LBP;100 пиастров;пиастр
ливийский динар;динар;LYD;1000 дирхамов;дирхам
литовский лит;лит;LTL;100 центов;цент
маврикийская рупия;рупия;MUR;100 центов;цент
мавританская угия;угия;MRO;5 хумс;хумс
малавийская квача;квача;MWK;100 тамбал;тамбал
